Team1 Name,Team1 Runs Scored,Team1 Wickets Fell,Team2 Name,Team2 Runs Scored,Team2 Wickets Fell,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Toss Winner,Match Winner,Toss Winner Choice_bat,Toss Winner Choice_bowl,Toss Winner Choice_match called off
40,0.23076923076923075,1.0,2,0.2784313725490196,0.1,118,111,1,41,2,True,False,False
26,0.6121794871794872,0.8,65,0.5450980392156863,0.8,83,40,41,26,26,True,False,False
80,0.33653846153846156,0.8,64,0.41568627450980394,0.5,32,15,28,64,61,False,True,False
49,0.33333333333333337,0.9,80,0.403921568627451,0.1,32,15,28,49,77,True,False,False
102,0.33333333333333337,0.8,89,0.403921568627451,0.5,113,92,8,89,84,False,True,False
70,0.4326923076923077,0.7000000000000001,16,0.3843137254901961,0.9,113,92,8,70,67,True,False,False
102,0.33653846153846156,0.8,70,0.41568627450980394,0.30000000000000004,113,92,8,103,67,True,False,False
102,0.5833333333333334,0.5,16,0.2784313725490196,1.0,113,92,8,16,98,False,True,False
70,0.4166666666666667,0.7000000000000001,89,0.5058823529411764,0.5,113,92,8,89,84,False,True,False
86,0.3717948717948718,0.7000000000000001,6,0.4117647058823529,0.8,128,82,55,6,82,False,True,False
2,0.6794871794871795,0.5,65,0.6509803921568627,1.0,44,10,41,2,2,True,False,False
26,0.5673076923076923,0.8,2,0.29411764705882354,1.0,191,146,15,26,26,True,False,False
86,0.4198717948717949,1.0,65,0.5098039215686274,0.5,128,82,55,65,62,False,True,False
2,0.6634615384615384,0.30000000000000004,86,0.4313725490196078,1.0,26,24,1,2,2,True,False,False
101,0.39743589743589747,0.7000000000000001,65,0.47843137254901963,0.8,44,10,41,65,99,False,True,False
86,0.6378205128205128,0.4,2,0.7647058823529411,0.7000000000000001,128,82,55,86,82,True,False,False
89,0.5160256410256411,1.0,26,0.615686274509804,0.5,191,146,15,89,84,True,False,False
26,0.4551282051282051,0.7000000000000001,70,0.5647058823529412,0.5,36,25,15,26,67,True,False,False
6,0.5256410256410257,1.0,102,0.4666666666666667,0.9,90,89,3,103,6,False,True,False
86,0.39743589743589747,0.9,41,0.4823529411764706,0.4,128,82,55,86,40,True,False,False
65,0.5128205128205128,0.8,89,0.22745098039215686,0.1,213,164,41,65,84,True,False,False
89,0.36217948717948717,1.0,65,0.4392156862745098,0.5,44,10,41,65,62,False,True,False
2,0.7019230769230769,0.5,26,0.5490196078431373,0.9,186,151,1,2,2,True,False,False
70,0.40705128205128205,0.8,86,0.5019607843137255,0.0,128,82,55,86,82,False,True,False
101,0.6602564102564102,0.8,26,0.7411764705882353,0.7000000000000001,86,105,15,101,96,True,False,False
101,0.5352564102564102,0.7000000000000001,26,0.6627450980392158,0.5,86,105,15,101,26,True,False,False
49,0.4358974358974359,0.7000000000000001,6,0.5294117647058822,0.5,67,119,32,6,6,False,True,False
70,0.6057692307692307,0.7000000000000001,6,0.615686274509804,0.7000000000000001,67,119,32,6,67,False,True,False
49,0.2884615384615385,1.0,70,0.34901960784313724,0.2,67,119,32,49,67,True,False,False
101,0.6506410256410257,0.6000000000000001,86,0.8,0.2,128,82,55,86,82,False,True,False
49,0.22756410256410256,1.0,65,0.2745098039215686,0.1,93,57,55,65,62,False,True,False
65,0.6794871794871795,0.6000000000000001,2,0.8235294117647058,0.4,0,40,41,65,99,True,False,False
70,0.5416666666666666,0.9,80,0.4549019607843137,1.0,93,57,55,80,67,False,True,False
89,0.47435897435897434,0.7000000000000001,70,0.49803921568627446,0.9,101,105,15,89,84,True,False,False
2,0.4358974358974359,0.9,102,0.5294117647058822,0.5,129,30,55,2,98,True,False,False
101,0.5192307692307693,0.8,6,0.6313725490196078,0.4,128,82,55,6,6,False,True,False
26,0.5961538461538461,0.9,102,0.5254901960784313,0.7000000000000001,129,30,55,26,26,True,False,False
40,0.4670883809751149,0.6847168347556245,80,0.4805812132015341,0.6035812672176308,93,57,55,80,99,False,True,False
89,0.8269230769230769,0.6000000000000001,49,0.32941176470588235,0.9,128,82,55,49,84,False,True,False
26,0.42628205128205127,1.0,2,0.5176470588235293,0.2,129,30,55,26,2,True,False,False
40,0.44551282051282054,0.9,70,0.5372549019607844,0.7000000000000001,93,57,55,70,99,False,True,False
65,0.5192307692307693,0.7000000000000001,89,0.6431372549019607,0.30000000000000004,128,82,55,65,84,True,False,False
6,0.4551282051282051,1.0,86,0.5568627450980392,0.30000000000000004,129,30,55,86,82,False,True,False
65,0.6025641025641025,1.0,41,0.6901960784313725,0.9,128,82,55,41,62,False,True,False
6,0.38782051282051283,0.8,2,0.47058823529411764,0.1,129,30,55,2,2,False,True,False
86,0.48717948717948717,0.8,26,0.5137254901960784,0.7000000000000001,129,30,55,26,82,False,True,False
70,0.5993589743589743,0.6000000000000001,89,0.5960784313725491,0.9,128,82,55,89,67,False,True,False
65,0.5192307692307693,0.9,26,0.607843137254902,0.8,93,57,55,26,62,False,True,False
2,0.5192307692307693,0.7000000000000001,70,0.6313725490196078,0.4,128,82,55,70,67,False,True,False
